"Lang","Path","HasRelated","AnchorCount","BrokenTargets"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\ogg-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\opus-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\pdf-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\png-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\pptx-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\rar-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\rtf-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\svg-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\tar-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\tar.bz2-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\tar.gz-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\tar.xz-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\tbz-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\tgz-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\tiff-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\tsv-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\txt-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\txz-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\wav-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\webm-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\webp-a-docx\index.html","True","41","0"
